CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
78,53,35,35,-27,56,-59,-35
7,-80,-14,-1,51,-13,-43,-9
-68,47,-29,33,76,29,-30,-12
25,-12,64,-24,-56,46,-63,3
48,69,-15,-39,-15,-29,25,44
60,-77,22,-24,-7,78,-71,-17
-27,-73,5,-9,-52,-46,-67,-47
69,41,66,-42,-24,-51,-22,-9
-40,59,21,61,-42,50,16,-53
26,34,59,-4,-44,56,76,74
-52,38,-18,-43,-53,-74,-39,9
-79,-6,-48,74,-28,29,-6,-37
4,-71,62,-75,54,78,-54,16
39,-51,-64,1,-28,-55,55,30
33,-54,-21,11,-58,19,-31,71
40,-10,44,70,52,-80,39,56
16,32,65,-25,-60,44,-14,77
-58,-7,7,-36,6,39,-60,-75
47,53,37,30,-40,46,-16,-9
-20,-24,3,-23,47,42,14,73
73,7,-4,-52,-75,18,33,-59
-78,15,-51,-70,-17,13,28,52
74,-9,-26,16,43,0,5,8
-16,49,50,-16,-62,-39,-6,-42
-33,21,3,52,-59,6,-75,26
78,-38,-26,30,-3,-52,44,-60
11,-80,49,-75,16,-8,51,35
-2,-20,-43,-6,-8,15,-20,-77
-9,-45,20,-78,-71,41,-68,-77
78,54,-41,23,41,25,-24,49
13,4,63,79,-11,58,58,-45
-51,-79,-38,6,-5,71,19,62
-32,-29,70,-54,-42,-49,-19,-11
7,60,-54,-5,-72,68,-59,2
51,-75,33,14,6,59,32,50
-77,62,-80,62,63,-11,8,-69
-41,-43,60,73,-76,-26,-24,40
40,68,-70,-55,-63,-67,-34,1
75,31,-38,-67,40,12,-14,54
34,8,-29,-5,5,-54,10,-66
9,39,18,-30,-21,24,-70,-27
22,-3,50,-55,13,-46,-40,-54
75,-13,43,-20,54,-70,-50,32
-3,-72,52,-21,25,-45,-14,49
-29,-70,72,-21,-70,0,32,7
-33,-33,12,-58,-22,39,-13,-9
-76,44,22,-29,13,-3,-54,-51
-24,7,-74,-6,-33,-30,5,37
3,55,6,25,-56,-17,10,7
39,69,-57,-31,7,-15,-14,25
-43,12,-47,74,-53,-48,32,-60
8,-46,-58,16,46,-70,-16,21
-77,-16,24,-4,7,13,-55,56
13,-31,24,26,61,43,1,-78
-77,-21,14,65,-53,-57,44,-9
71,-15,-32,-21,-12,-17,-55,-8
8,39,-45,-11,68,68,50,44
30,51,34,-42,52,-1,-62,-22
76,-61,35,24,-67,51,58,17
-4,75,72,-47,70,19,-70,24
40,67,58,-49,48,32,39,45
-29,79,15,-77,-40,-37,-55,67
-63,-2,-4,17,79,61,28,-61
69,76,-16,-1,-17,-16,-17,40
-55,7,22,-9,18,-75,-26,-3
48,29,27,-9,16,-57,-71,1
9,-62,11,57,-60,-65,66,-50
53,-68,-53,39,-39,52,63,-27
-21,35,70,77,11,68,33,74
-56,-44,34,9,-68,18,34,-40
-75,-68,43,-10,39,65,-69,-70
-2,4,35,40,34,39,7,63
28,-40,14,-22,61,-46,77,67
43,5,-59,28,68,-23,11,74
29,-70,74,-73,-45,4,13,36
-33,-32,46,-13,50,59,-56,-12
-12,-22,-34,41,-74,59,33,-25
-66,50,73,1,51,31,-65,65
75,-14,-45,-71,-25,48,52,-69
-1,-6,-65,63,-67,-47,-32,-22
-62,22,-32,20,-15,77,-63,-10
42,-55,78,23,8,-24,47,50
4,-63,-58,78,26,-40,63,-71
-20,53,-40,39,62,-49,-67,-79
34,79,3,-38,-71,74,45,-1
74,51,-71,61,-63,-57,57,20
-14,0,59,-54,-26,55,64,27
-26,-5,70,-26,55,70,-70,17
-18,-38,-68,-28,27,5,-76,-55
15,-4,-33,-69,7,-73,-71,-43
-34,-20,64,-67,-39,-61,-19,-65
24,19,52,39,6,73,23,-36
-69,78,79,-56,2,28,21,-46
-79,37,76,-12,50,-22,-38,69
9,-31,-54,51,13,79,15,-77
40,70,-26,-62,-20,49,-20,-59
23,-7,42,24,8,67,38,-2
-57,-29,-2,30,-70,4,-72,-9
-78,61,-62,-20,-61,-70,-13,67
23,-1,-70,-65,55,-71,44,-4
-33,-60,25,-38,74,28,-7,-31
79,14,-72,31,26,-19,3,-17
-65,-72,27,-32,9,64,68,77
61,23,49,49,-71,-22,8,-54
-3,-14,39,-73,-8,-4,25,-6
21,-64,48,-13,9,-64,-80,26
-3,-40,33,74,54,-61,-41,14
77,-63,-18,-18,-79,30,-39,5
3,-14,-58,61,74,-20,-75,65
33,3,66,-46,-55,-12,54,-36
20,2,-30,-71,42,-1,28,1
-25,40,45,-68,44,30,71,-48
32,-19,-20,0,-15,16,-64,9
43,78,69,-61,1,-42,45,66
77,-2,-3,10,13,-58,-19,77
-50,29,-11,29,58,28,-63,-61
-52,29,-60,-52,-19,17,29,-27
0,-59,61,-73,30,46,38,-79
58,-33,-6,-39,60,-37,34,-46
-27,12,-78,-6,1,-72,-74,11
-28,-35,11,-35,-8,-46,-41,23
-31,75,28,-14,-45,24,16,-46
-14,-50,-24,47,-22,56,-16,21
39,-43,75,-56,20,4,64,26
-70,-8,58,-44,-5,66,-9,-21
74,36,-20,-80,-66,-18,-18,53
-43,47,8,29,-56,69,32,74
-74,-68,-40,10,-51,43,-58,-77
52,-36,-22,-29,-56,51,4,-39
4,-80,60,71,-74,-28,70,-65
19,45,-76,8,5,76,58,-25
31,-15,-19,-12,19,30,-47,65
-3,-34,-51,-71,-61,-6,69,73
-29,37,75,-7,-69,-5,49,-1
-35,-23,9,-67,-63,22,76,-4
68,31,52,-35,49,49,-20,70
57,-20,15,-7,43,-77,79,-9
56,-52,34,30,12,-60,31,-75
67,43,-53,2,-57,56,40,-44
-25,-66,63,47,63,-22,-71,59
3,-24,-77,21,-34,-80,-19,-15
-59,-25,27,77,8,25,78,-12
-64,38,52,29,36,52,42,-30
67,12,13,-27,72,-17,-1,7
63,-34,-30,-78,-50,71,74,-8
75,-8,-4,-73,61,-39,22,2
62,-10,13,7,-35,-40,-27,10
66,-29,-58,10,-35,-73,27,-47
33,-13,8,24,14,-27,-45,26
